Frame Number,Timestamp (seconds),Crowd Count,Inference Time (milliseconds),Processing FPS
1,0.04,118.49,4851.26,0.2
2,0.08,121.96,5595.39,0.19
3,0.12,118.04,5694.84,0.18
4,0.16,118.95,5570.91,0.18
5,0.2,125.32,5918.37,0.18
6,0.24,123.58,6520.15,0.17
7,0.281,121.8,6266.92,0.17
8,0.321,116.17,6724.05,0.17
9,0.361,116.42,6915.26,0.17
10,0.401,125.08,6522.87,0.16
11,0.441,141.54,6640.6,0.16
12,0.481,124.47,5012.71,0.17
13,0.521,110.97,4854.89,0.17
14,0.561,111.49,5036.87,0.17
15,0.601,111.83,5093.33,0.17
16,0.641,105.49,6003.78,0.17
17,0.681,108.08,6438.52,0.17
18,0.721,111.1,6441.72,0.17
19,0.761,105.42,6189.09,0.17
20,0.801,116.19,6251.06,0.17
21,0.842,109.54,5937.72,0.17
22,0.882,108.4,6530.54,0.17
23,0.922,117.68,5337.07,0.17
24,0.962,113.86,4998.07,0.17
25,1.002,119.45,4763.95,0.17
26,1.042,118.26,4854.75,0.17
27,1.082,114.24,4901.04,0.17
28,1.122,104.43,4796.81,0.17
29,1.162,107.97,4959.92,0.17
30,1.202,106.39,8538.12,0.17
31,1.242,97.81,9836.28,0.17
32,1.282,103.38,7423.89,0.17
33,1.322,101.46,7095.71,0.17
34,1.362,91.19,7204.02,0.16
35,1.403,87.45,6917.99,0.16
36,1.443,86.68,6994.58,0.16
37,1.483,91.57,7122.73,0.16
38,1.523,85.14,7007.1,0.16
39,1.563,82.16,6982.41,0.16
40,1.603,82.78,6709.75,0.16
41,1.643,83.78,6820.98,0.16
42,1.683,89.43,7162.34,0.16
43,1.723,93.58,6210.51,0.16
44,1.763,101.09,6657.05,0.16
45,1.803,105.12,7133.95,0.16
46,1.843,105.04,7118.84,0.16
47,1.883,107.32,6669.35,0.16
48,1.923,105.8,6811.41,0.16
49,1.964,106.18,7207.61,0.16
50,2.004,105.13,7233.48,0.16
51,2.044,93.87,6945.22,0.16
52,2.084,98.75,7038.29,0.16
53,2.124,94.82,7180.79,0.16
54,2.164,100.24,6980.14,0.16
55,2.204,112.42,6716.18,0.16
56,2.244,105.34,6643.56,0.16
57,2.284,103.05,7251.36,0.16
58,2.324,102.55,7286.51,0.16
59,2.364,102.43,6639.76,0.16
60,2.404,106.98,7131.12,0.16
61,2.444,101.82,6964.3,0.15
62,2.485,101.63,7078.93,0.15
63,2.525,103.36,6587.7,0.15
